"Kommune";"Kommunenavn";"Aldersgruppe";"Bekræftede tilfælde i alt";"Dagsdato"
;;;53;2022-11-14
;;0-9;401;2022-11-14
019;;0-9;211;2022-11-14
101;København;0-9;36478;2022-11-14
147;Frederiksberg;0-9;5678;2022-11-14
151;Ballerup;0-9;3518;2022-11-14
153;Brøndby;0-9;2626;2022-11-14
155;Dragør;0-9;1157;2022-11-14
157;Gentofte;0-9;4628;2022-11-14
159;Gladsaxe;0-9;5070;2022-11-14
161;Glostrup;0-9;1663;2022-11-14
163;Herlev;0-9;2298;2022-11-14
165;Albertslund;0-9;1948;2022-11-14
167;Hvidovre;0-9;4401;2022-11-14
169;Høje Tåstrup;0-9;3755;2022-11-14
173;Lyngby-Taarbæk;0-9;3622;2022-11-14
175;Rødovre;0-9;3232;2022-11-14
183;Ishøj;0-9;1804;2022-11-14
185;Tårnby;0-9;3247;2022-11-14
187;Vallensbæk;0-9;1342;2022-11-14
190;Furesø;0-9;3045;2022-11-14
201;Allerød;0-9;1982;2022-11-14
210;Fredensborg;0-9;2664;2022-11-14
217;Helsingør;0-9;3485;2022-11-14
219;Hillerød;0-9;3631;2022-11-14
223;Hørsholm;0-9;1436;2022-11-14
230;Rudersdal;0-9;3744;2022-11-14
240;Egedal;0-9;3357;2022-11-14
250;Frederikssund;0-9;2484;2022-11-14
253;Greve;0-9;3650;2022-11-14
259;Køge;0-9;3550;2022-11-14
260;Halsnæs;0-9;1567;2022-11-14
265;Roskilde;0-9;5298;2022-11-14
269;Solrød;0-9;1820;2022-11-14
270;Gribskov;0-9;1886;2022-11-14
306;Odsherred;0-9;1022;2022-11-14
316;Holbæk;0-9;3573;2022-11-14
320;Faxe;0-9;1807;2022-11-14
326;Kalundborg;0-9;2361;2022-11-14
329;Ringsted;0-9;1990;2022-11-14
330;Slagelse;0-9;4495;2022-11-14
336;Stevns;0-9;1128;2022-11-14
340;Sorø;0-9;1421;2022-11-14
350;Lejre;0-9;1658;2022-11-14
360;Lolland;0-9;1670;2022-11-14
370;Næstved;0-9;4176;2022-11-14
376;Guldborgsund;0-9;2831;2022-11-14
390;Vordingborg;0-9;1771;2022-11-14
400;Bornholm;0-9;1752;2022-11-14
410;Middelfart;0-9;2110;2022-11-14
420;Assens;0-9;2201;2022-11-14
430;Faaborg-Midtfyn;0-9;2819;2022-11-14
440;Kerteminde;0-9;1314;2022-11-14
450;Nyborg;0-9;1708;2022-11-14
461;Odense;0-9;12831;2022-11-14
479;Svendborg;0-9;3168;2022-11-14
480;Nordfyn;0-9;1683;2022-11-14
482;Langeland;0-9;425;2022-11-14
492;Ærø;0-9;190;2022-11-14
510;Haderslev;0-9;2936;2022-11-14
530;Billund;0-9;1593;2022-11-14
540;Sønderborg;0-9;4172;2022-11-14
550;Tønder;0-9;2073;2022-11-14
561;Esbjerg;0-9;7399;2022-11-14
563;Fanø;0-9;140;2022-11-14
573;Varde;0-9;2982;2022-11-14
575;Vejen;0-9;2569;2022-11-14
