"Kommune";"Kommunenavn";"Bekræftede tilfælde alt de seneste 7 dage";"Testede de seneste 7 dage";"Positivprocent 7 dage"
101;København;368;3170;11,61
147;Frederiksberg;58;482;12,03
151;Ballerup;40;309;12,94
153;Brøndby;13;180;7,22
155;Dragør;11;71;15,49
157;Gentofte;33;348;9,48
159;Gladsaxe;48;380;12,63
161;Glostrup;24;130;18,46
163;Herlev;18;158;11,39
165;Albertslund;23;151;15,23
167;Hvidovre;52;406;12,81
169;Høje Tåstrup;41;428;9,58
173;Lyngby-Taarbæk;24;239;10,04
175;Rødovre;32;375;8,53
183;Ishøj;13;138;9,42
185;Tårnby;32;313;10,22
187;Vallensbæk;11;75;14,67
190;Furesø;20;233;8,58
201;Allerød;22;190;11,58
210;Fredensborg;31;254;12,20
217;Helsingør;44;365;12,05
219;Hillerød;91;640;14,22
223;Hørsholm;20;163;12,27
230;Rudersdal;24;392;6,12
240;Egedal;33;246;13,41
250;Frederikssund;35;332;10,54
253;Greve;39;316;12,34
259;Køge;89;525;16,95
260;Halsnæs;37;360;10,28
265;Roskilde;70;600;11,67
269;Solrød;29;173;16,76
270;Gribskov;34;373;9,12
306;Odsherred;16;202;7,92
316;Holbæk;51;511;9,98
320;Faxe;25;252;9,92
326;Kalundborg;30;284;10,56
329;Ringsted;27;192;14,06
330;Slagelse;82;684;11,99
336;Stevns;19;165;11,52
340;Sorø;22;159;13,84
350;Lejre;31;203;15,27
360;Lolland;37;536;6,90
370;Næstved;107;772;13,86
376;Guldborgsund;116;1010;11,49
390;Vordingborg;35;398;8,79
400;Bornholm;33;438;7,53
410;Middelfart;12;173;6,94
420;Assens;25;334;7,49
430;Faaborg-Midtfyn;31;389;7,97
440;Kerteminde;20;162;12,35
450;Nyborg;28;221;12,67
461;Odense;170;1521;11,18
479;Svendborg;65;683;9,52
480;Nordfyn;19;160;11,88
482;Langeland;11;76;14,47
492;Ærø;2;27;7,41
510;Haderslev;24;229;10,48
530;Billund;8;64;12,50
540;Sønderborg;62;433;14,32
550;Tønder;20;298;6,71
561;Esbjerg;84;692;12,14
563;Fanø;1;8;12,50
573;Varde;45;286;15,73
575;Vejen;11;268;4,10
580;Aabenraa;47;478;9,83
607;Fredericia;22;263;8,37
615;Horsens;71;502;14,14
621;Kolding;69;569;12,13
630;Vejle;96;854;11,24
657;Herning;74;472;15,68
661;Holstebro;36;358;10,06
665;Lemvig;3;42;7,14
671;Struer;10;73;13,70
706;Syddjurs;15;165;9,09
707;Norddjurs;19;123;15,45
710;Favrskov;31;246;12,60
727;Odder;8;121;6,61
730;Randers;63;525;12,00
740;Silkeborg;95;502;18,92
741;Samsø;0;39;0,00
746;Skanderborg;27;224;12,05
751;Århus;236;1464;16,12
756;Ikast-Brande;45;240;18,75
760;Ringkøbing-Skjern;22;261;8,43
766;Hedensted;29;203;14,29
773;Morsø;9;102;8,82
779;Skive;18;181;9,94
787;Thisted;22;293;7,51
791;Viborg;75;598;12,54
810;Brønderslev;21;164;12,80
813;Frederikshavn;42;352;11,93
820;Vesthimmerland;15;286;5,24
825;Læsø;0;8;0,00
840;Rebild;19;106;17,92
846;Mariagerfjord;43;293;14,68
849;Jammerbugt;20;248;8,06
851;Aalborg;155;1575;9,84
860;Hjørring;34;411;8,27
