"Kommune";"Kommunenavn";"Aldersgruppe";"Bekræftede tilfælde i alt";"Dagsdato"
019;;0-9;1;2022-11-14
101;København;0-9;17;2022-11-14
147;Frederiksberg;0-9;2;2022-11-14
151;Ballerup;0-9;7;2022-11-14
157;Gentofte;0-9;2;2022-11-14
159;Gladsaxe;0-9;1;2022-11-14
161;Glostrup;0-9;3;2022-11-14
163;Herlev;0-9;2;2022-11-14
165;Albertslund;0-9;1;2022-11-14
167;Hvidovre;0-9;3;2022-11-14
169;Høje Tåstrup;0-9;3;2022-11-14
201;Allerød;0-9;1;2022-11-14
217;Helsingør;0-9;2;2022-11-14
219;Hillerød;0-9;6;2022-11-14
230;Rudersdal;0-9;2;2022-11-14
240;Egedal;0-9;1;2022-11-14
259;Køge;0-9;4;2022-11-14
260;Halsnæs;0-9;2;2022-11-14
269;Solrød;0-9;5;2022-11-14
270;Gribskov;0-9;1;2022-11-14
316;Holbæk;0-9;3;2022-11-14
320;Faxe;0-9;1;2022-11-14
330;Slagelse;0-9;3;2022-11-14
360;Lolland;0-9;2;2022-11-14
370;Næstved;0-9;6;2022-11-14
376;Guldborgsund;0-9;2;2022-11-14
390;Vordingborg;0-9;1;2022-11-14
450;Nyborg;0-9;2;2022-11-14
461;Odense;0-9;7;2022-11-14
479;Svendborg;0-9;2;2022-11-14
480;Nordfyn;0-9;1;2022-11-14
530;Billund;0-9;1;2022-11-14
540;Sønderborg;0-9;3;2022-11-14
550;Tønder;0-9;1;2022-11-14
561;Esbjerg;0-9;3;2022-11-14
575;Vejen;0-9;1;2022-11-14
607;Fredericia;0-9;1;2022-11-14
615;Horsens;0-9;3;2022-11-14
621;Kolding;0-9;1;2022-11-14
630;Vejle;0-9;3;2022-11-14
657;Herning;0-9;3;2022-11-14
707;Norddjurs;0-9;2;2022-11-14
710;Favrskov;0-9;3;2022-11-14
730;Randers;0-9;4;2022-11-14
740;Silkeborg;0-9;5;2022-11-14
746;Skanderborg;0-9;1;2022-11-14
751;Århus;0-9;12;2022-11-14
756;Ikast-Brande;0-9;2;2022-11-14
766;Hedensted;0-9;1;2022-11-14
779;Skive;0-9;1;2022-11-14
787;Thisted;0-9;1;2022-11-14
791;Viborg;0-9;4;2022-11-14
810;Brønderslev;0-9;2;2022-11-14
813;Frederikshavn;0-9;1;2022-11-14
820;Vesthimmerland;0-9;1;2022-11-14
840;Rebild;0-9;3;2022-11-14
846;Mariagerfjord;0-9;3;2022-11-14
851;Aalborg;0-9;3;2022-11-14
860;Hjørring;0-9;1;2022-11-14
101;København;10-19;27;2022-11-14
147;Frederiksberg;10-19;5;2022-11-14
151;Ballerup;10-19;4;2022-11-14
157;Gentofte;10-19;2;2022-11-14
159;Gladsaxe;10-19;6;2022-11-14
161;Glostrup;10-19;3;2022-11-14
163;Herlev;10-19;1;2022-11-14
165;Albertslund;10-19;1;2022-11-14
167;Hvidovre;10-19;2;2022-11-14
169;Høje Tåstrup;10-19;1;2022-11-14
173;Lyngby-Taarbæk;10-19;1;2022-11-14
175;Rødovre;10-19;3;2022-11-14
183;Ishøj;10-19;1;2022-11-14
185;Tårnby;10-19;6;2022-11-14
190;Furesø;10-19;6;2022-11-14
201;Allerød;10-19;6;2022-11-14
210;Fredensborg;10-19;4;2022-11-14
217;Helsingør;10-19;6;2022-11-14
219;Hillerød;10-19;7;2022-11-14
223;Hørsholm;10-19;3;2022-11-14
230;Rudersdal;10-19;3;2022-11-14
240;Egedal;10-19;6;2022-11-14
250;Frederikssund;10-19;3;2022-11-14
253;Greve;10-19;2;2022-11-14
259;Køge;10-19;9;2022-11-14
260;Halsnæs;10-19;6;2022-11-14
265;Roskilde;10-19;7;2022-11-14
269;Solrød;10-19;2;2022-11-14
270;Gribskov;10-19;1;2022-11-14
316;Holbæk;10-19;4;2022-11-14
320;Faxe;10-19;1;2022-11-14
329;Ringsted;10-19;4;2022-11-14
330;Slagelse;10-19;3;2022-11-14
336;Stevns;10-19;1;2022-11-14
340;Sorø;10-19;4;2022-11-14
350;Lejre;10-19;1;2022-11-14
360;Lolland;10-19;5;2022-11-14
370;Næstved;10-19;11;2022-11-14
376;Guldborgsund;10-19;19;2022-11-14
390;Vordingborg;10-19;2;2022-11-14
400;Bornholm;10-19;2;2022-11-14
410;Middelfart;10-19;1;2022-11-14
430;Faaborg-Midtfyn;10-19;1;2022-11-14
440;Kerteminde;10-19;1;2022-11-14
461;Odense;10-19;9;2022-11-14
479;Svendborg;10-19;4;2022-11-14
480;Nordfyn;10-19;3;2022-11-14
482;Langeland;10-19;1;2022-11-14
530;Billund;10-19;1;2022-11-14
540;Sønderborg;10-19;4;2022-11-14
550;Tønder;10-19;2;2022-11-14
561;Esbjerg;10-19;7;2022-11-14
573;Varde;10-19;1;2022-11-14
580;Aabenraa;10-19;2;2022-11-14
607;Fredericia;10-19;2;2022-11-14
615;Horsens;10-19;4;2022-11-14
621;Kolding;10-19;6;2022-11-14
630;Vejle;10-19;10;2022-11-14
657;Herning;10-19;6;2022-11-14
661;Holstebro;10-19;3;2022-11-14
671;Struer;10-19;3;2022-11-14
710;Favrskov;10-19;3;2022-11-14
730;Randers;10-19;4;2022-11-14
740;Silkeborg;10-19;8;2022-11-14
746;Skanderborg;10-19;1;2022-11-14
751;Århus;10-19;17;2022-11-14
756;Ikast-Brande;10-19;2;2022-11-14
760;Ringkøbing-Skjern;10-19;1;2022-11-14
766;Hedensted;10-19;4;2022-11-14
773;Morsø;10-19;1;2022-11-14
779;Skive;10-19;3;2022-11-14
787;Thisted;10-19;4;2022-11-14
791;Viborg;10-19;6;2022-11-14
810;Brønderslev;10-19;2;2022-11-14
813;Frederikshavn;10-19;5;2022-11-14
840;Rebild;10-19;3;2022-11-14
846;Mariagerfjord;10-19;2;2022-11-14
851;Aalborg;10-19;9;2022-11-14
860;Hjørring;10-19;2;2022-11-14
;;20-29;2;2022-11-14
101;København;20-29;56;2022-11-14
147;Frederiksberg;20-29;5;2022-11-14
151;Ballerup;20-29;2;2022-11-14
153;Brøndby;20-29;3;2022-11-14
159;Gladsaxe;20-29;4;2022-11-14
161;Glostrup;20-29;2;2022-11-14
163;Herlev;20-29;3;2022-11-14
165;Albertslund;20-29;5;2022-11-14
167;Hvidovre;20-29;6;2022-11-14
169;Høje Tåstrup;20-29;5;2022-11-14
173;Lyngby-Taarbæk;20-29;1;2022-11-14
175;Rødovre;20-29;2;2022-11-14
183;Ishøj;20-29;2;2022-11-14
185;Tårnby;20-29;4;2022-11-14
187;Vallensbæk;20-29;2;2022-11-14
201;Allerød;20-29;2;2022-11-14
210;Fredensborg;20-29;2;2022-11-14
217;Helsingør;20-29;3;2022-11-14
219;Hillerød;20-29;12;2022-11-14
223;Hørsholm;20-29;1;2022-11-14
230;Rudersdal;20-29;1;2022-11-14
240;Egedal;20-29;1;2022-11-14
250;Frederikssund;20-29;1;2022-11-14
253;Greve;20-29;9;2022-11-14
259;Køge;20-29;13;2022-11-14
260;Halsnæs;20-29;5;2022-11-14
265;Roskilde;20-29;15;2022-11-14
269;Solrød;20-29;2;2022-11-14
270;Gribskov;20-29;2;2022-11-14
316;Holbæk;20-29;14;2022-11-14
320;Faxe;20-29;5;2022-11-14
326;Kalundborg;20-29;5;2022-11-14
329;Ringsted;20-29;3;2022-11-14
330;Slagelse;20-29;19;2022-11-14
336;Stevns;20-29;2;2022-11-14
340;Sorø;20-29;2;2022-11-14
350;Lejre;20-29;6;2022-11-14
360;Lolland;20-29;5;2022-11-14
370;Næstved;20-29;19;2022-11-14
376;Guldborgsund;20-29;7;2022-11-14
390;Vordingborg;20-29;8;2022-11-14
400;Bornholm;20-29;5;2022-11-14
410;Middelfart;20-29;3;2022-11-14
420;Assens;20-29;3;2022-11-14
430;Faaborg-Midtfyn;20-29;4;2022-11-14
440;Kerteminde;20-29;1;2022-11-14
450;Nyborg;20-29;8;2022-11-14
461;Odense;20-29;34;2022-11-14
479;Svendborg;20-29;12;2022-11-14
480;Nordfyn;20-29;1;2022-11-14
482;Langeland;20-29;1;2022-11-14
510;Haderslev;20-29;5;2022-11-14
540;Sønderborg;20-29;15;2022-11-14
561;Esbjerg;20-29;14;2022-11-14
563;Fanø;20-29;1;2022-11-14
573;Varde;20-29;4;2022-11-14
575;Vejen;20-29;1;2022-11-14
580;Aabenraa;20-29;6;2022-11-14
607;Fredericia;20-29;3;2022-11-14
615;Horsens;20-29;12;2022-11-14
621;Kolding;20-29;13;2022-11-14
630;Vejle;20-29;15;2022-11-14
657;Herning;20-29;13;2022-11-14
661;Holstebro;20-29;4;2022-11-14
665;Lemvig;20-29;1;2022-11-14
707;Norddjurs;20-29;1;2022-11-14
710;Favrskov;20-29;2;2022-11-14
727;Odder;20-29;1;2022-11-14
730;Randers;20-29;12;2022-11-14
740;Silkeborg;20-29;8;2022-11-14
746;Skanderborg;20-29;2;2022-11-14
751;Århus;20-29;52;2022-11-14
756;Ikast-Brande;20-29;6;2022-11-14
760;Ringkøbing-Skjern;20-29;2;2022-11-14
766;Hedensted;20-29;2;2022-11-14
779;Skive;20-29;1;2022-11-14
787;Thisted;20-29;1;2022-11-14
791;Viborg;20-29;7;2022-11-14
810;Brønderslev;20-29;2;2022-11-14
813;Frederikshavn;20-29;7;2022-11-14
840;Rebild;20-29;1;2022-11-14
846;Mariagerfjord;20-29;3;2022-11-14
851;Aalborg;20-29;23;2022-11-14
860;Hjørring;20-29;4;2022-11-14
;;30-39;4;2022-11-14
019;;30-39;1;2022-11-14
101;København;30-39;83;2022-11-14
147;Frederiksberg;30-39;12;2022-11-14
151;Ballerup;30-39;7;2022-11-14
153;Brøndby;30-39;2;2022-11-14
155;Dragør;30-39;1;2022-11-14
157;Gentofte;30-39;5;2022-11-14
159;Gladsaxe;30-39;14;2022-11-14
161;Glostrup;30-39;4;2022-11-14
163;Herlev;30-39;5;2022-11-14
165;Albertslund;30-39;4;2022-11-14
167;Hvidovre;30-39;13;2022-11-14
