"Kommune";"Kommunenavn";"Aldersgruppe";"Bekræftede tilfælde i alt";"Dagsdato"
;;.;53;2022-11-14
;;00-02;110;2022-11-14
019;;00-02;37;2022-11-14
101;København;00-02;7071;2022-11-14
147;Frederiksberg;00-02;1153;2022-11-14
151;Ballerup;00-02;586;2022-11-14
153;Brøndby;00-02;441;2022-11-14
155;Dragør;00-02;141;2022-11-14
157;Gentofte;00-02;575;2022-11-14
159;Gladsaxe;00-02;787;2022-11-14
161;Glostrup;00-02;325;2022-11-14
163;Herlev;00-02;313;2022-11-14
165;Albertslund;00-02;325;2022-11-14
167;Hvidovre;00-02;740;2022-11-14
169;Høje Tåstrup;00-02;627;2022-11-14
173;Lyngby-Taarbæk;00-02;461;2022-11-14
175;Rødovre;00-02;530;2022-11-14
183;Ishøj;00-02;309;2022-11-14
185;Tårnby;00-02;506;2022-11-14
187;Vallensbæk;00-02;251;2022-11-14
190;Furesø;00-02;397;2022-11-14
201;Allerød;00-02;258;2022-11-14
210;Fredensborg;00-02;407;2022-11-14
217;Helsingør;00-02;484;2022-11-14
219;Hillerød;00-02;559;2022-11-14
223;Hørsholm;00-02;173;2022-11-14
230;Rudersdal;00-02;458;2022-11-14
240;Egedal;00-02;537;2022-11-14
250;Frederikssund;00-02;373;2022-11-14
253;Greve;00-02;500;2022-11-14
259;Køge;00-02;557;2022-11-14
260;Halsnæs;00-02;245;2022-11-14
265;Roskilde;00-02;779;2022-11-14
269;Solrød;00-02;305;2022-11-14
270;Gribskov;00-02;269;2022-11-14
306;Odsherred;00-02;144;2022-11-14
316;Holbæk;00-02;570;2022-11-14
320;Faxe;00-02;265;2022-11-14
326;Kalundborg;00-02;311;2022-11-14
329;Ringsted;00-02;296;2022-11-14
330;Slagelse;00-02;879;2022-11-14
336;Stevns;00-02;159;2022-11-14
340;Sorø;00-02;197;2022-11-14
350;Lejre;00-02;263;2022-11-14
360;Lolland;00-02;224;2022-11-14
370;Næstved;00-02;570;2022-11-14
376;Guldborgsund;00-02;501;2022-11-14
390;Vordingborg;00-02;235;2022-11-14
400;Bornholm;00-02;144;2022-11-14
410;Middelfart;00-02;320;2022-11-14
420;Assens;00-02;336;2022-11-14
430;Faaborg-Midtfyn;00-02;456;2022-11-14
440;Kerteminde;00-02;203;2022-11-14
450;Nyborg;00-02;278;2022-11-14
461;Odense;00-02;2598;2022-11-14
479;Svendborg;00-02;423;2022-11-14
480;Nordfyn;00-02;304;2022-11-14
482;Langeland;00-02;64;2022-11-14
492;Ærø;00-02;16;2022-11-14
510;Haderslev;00-02;468;2022-11-14
530;Billund;00-02;226;2022-11-14
540;Sønderborg;00-02;645;2022-11-14
550;Tønder;00-02;311;2022-11-14
561;Esbjerg;00-02;1348;2022-11-14
563;Fanø;00-02;11;2022-11-14
573;Varde;00-02;471;2022-11-14
575;Vejen;00-02;434;2022-11-14
580;Aabenraa;00-02;630;2022-11-14
607;Fredericia;00-02;457;2022-11-14
615;Horsens;00-02;900;2022-11-14
621;Kolding;00-02;1049;2022-11-14
630;Vejle;00-02;1292;2022-11-14
657;Herning;00-02;756;2022-11-14
661;Holstebro;00-02;560;2022-11-14
665;Lemvig;00-02;122;2022-11-14
671;Struer;00-02;127;2022-11-14
706;Syddjurs;00-02;284;2022-11-14
707;Norddjurs;00-02;218;2022-11-14
710;Favrskov;00-02;457;2022-11-14
727;Odder;00-02;145;2022-11-14
730;Randers;00-02;842;2022-11-14
740;Silkeborg;00-02;974;2022-11-14
741;Samsø;00-02;2;2022-11-14
746;Skanderborg;00-02;690;2022-11-14
751;Århus;00-02;3319;2022-11-14
756;Ikast-Brande;00-02;320;2022-11-14
760;Ringkøbing-Skjern;00-02;370;2022-11-14
766;Hedensted;00-02;363;2022-11-14
773;Morsø;00-02;110;2022-11-14
779;Skive;00-02;318;2022-11-14
787;Thisted;00-02;299;2022-11-14
791;Viborg;00-02;854;2022-11-14
810;Brønderslev;00-02;378;2022-11-14
813;Frederikshavn;00-02;364;2022-11-14
820;Vesthimmerland;00-02;253;2022-11-14
825;Læsø;00-02;4;2022-11-14
840;Rebild;00-02;320;2022-11-14
