"Kommune";"Kommunenavn";"Aldersgruppe";"Bekræftede tilfælde i alt";"Dagsdato"
019;;00-02;1;2022-11-14
101;København;00-02;5;2022-11-14
147;Frederiksberg;00-02;2;2022-11-14
151;Ballerup;00-02;1;2022-11-14
157;Gentofte;00-02;2;2022-11-14
161;Glostrup;00-02;3;2022-11-14
169;Høje Tåstrup;00-02;1;2022-11-14
219;Hillerød;00-02;1;2022-11-14
230;Rudersdal;00-02;1;2022-11-14
240;Egedal;00-02;1;2022-11-14
270;Gribskov;00-02;1;2022-11-14
330;Slagelse;00-02;1;2022-11-14
370;Næstved;00-02;1;2022-11-14
376;Guldborgsund;00-02;1;2022-11-14
561;Esbjerg;00-02;1;2022-11-14
607;Fredericia;00-02;1;2022-11-14
657;Herning;00-02;1;2022-11-14
707;Norddjurs;00-02;1;2022-11-14
730;Randers;00-02;4;2022-11-14
751;Århus;00-02;6;2022-11-14
779;Skive;00-02;1;2022-11-14
840;Rebild;00-02;1;2022-11-14
851;Aalborg;00-02;2;2022-11-14
101;København;03-05;4;2022-11-14
151;Ballerup;03-05;1;2022-11-14
167;Hvidovre;03-05;1;2022-11-14
217;Helsingør;03-05;1;2022-11-14
269;Solrød;03-05;2;2022-11-14
316;Holbæk;03-05;2;2022-11-14
320;Faxe;03-05;1;2022-11-14
360;Lolland;03-05;1;2022-11-14
370;Næstved;03-05;2;2022-11-14
461;Odense;03-05;2;2022-11-14
530;Billund;03-05;1;2022-11-14
615;Horsens;03-05;1;2022-11-14
657;Herning;03-05;2;2022-11-14
740;Silkeborg;03-05;3;2022-11-14
751;Århus;03-05;1;2022-11-14
766;Hedensted;03-05;1;2022-11-14
810;Brønderslev;03-05;1;2022-11-14
813;Frederikshavn;03-05;1;2022-11-14
846;Mariagerfjord;03-05;3;2022-11-14
101;København;06-11;12;2022-11-14
147;Frederiksberg;06-11;1;2022-11-14
151;Ballerup;06-11;5;2022-11-14
159;Gladsaxe;06-11;2;2022-11-14
161;Glostrup;06-11;1;2022-11-14
163;Herlev;06-11;2;2022-11-14
165;Albertslund;06-11;2;2022-11-14
167;Hvidovre;06-11;2;2022-11-14
169;Høje Tåstrup;06-11;2;2022-11-14
173;Lyngby-Taarbæk;06-11;1;2022-11-14
175;Rødovre;06-11;1;2022-11-14
185;Tårnby;06-11;2;2022-11-14
201;Allerød;06-11;2;2022-11-14
217;Helsingør;06-11;3;2022-11-14
219;Hillerød;06-11;6;2022-11-14
230;Rudersdal;06-11;1;2022-11-14
240;Egedal;06-11;2;2022-11-14
259;Køge;06-11;7;2022-11-14
260;Halsnæs;06-11;2;2022-11-14
269;Solrød;06-11;3;2022-11-14
270;Gribskov;06-11;1;2022-11-14
316;Holbæk;06-11;1;2022-11-14
330;Slagelse;06-11;3;2022-11-14
336;Stevns;06-11;1;2022-11-14
340;Sorø;06-11;1;2022-11-14
350;Lejre;06-11;1;2022-11-14
360;Lolland;06-11;2;2022-11-14
370;Næstved;06-11;7;2022-11-14
376;Guldborgsund;06-11;2;2022-11-14
390;Vordingborg;06-11;1;2022-11-14
400;Bornholm;06-11;1;2022-11-14
450;Nyborg;06-11;2;2022-11-14
461;Odense;06-11;6;2022-11-14
479;Svendborg;06-11;3;2022-11-14
480;Nordfyn;06-11;1;2022-11-14
540;Sønderborg;06-11;3;2022-11-14
550;Tønder;06-11;1;2022-11-14
561;Esbjerg;06-11;3;2022-11-14
575;Vejen;06-11;1;2022-11-14
615;Horsens;06-11;5;2022-11-14
621;Kolding;06-11;2;2022-11-14
630;Vejle;06-11;5;2022-11-14
657;Herning;06-11;1;2022-11-14
671;Struer;06-11;1;2022-11-14
707;Norddjurs;06-11;1;2022-11-14
710;Favrskov;06-11;3;2022-11-14
740;Silkeborg;06-11;4;2022-11-14
746;Skanderborg;06-11;1;2022-11-14
751;Århus;06-11;7;2022-11-14
756;Ikast-Brande;06-11;2;2022-11-14
766;Hedensted;06-11;1;2022-11-14
773;Morsø;06-11;1;2022-11-14
787;Thisted;06-11;3;2022-11-14
791;Viborg;06-11;4;2022-11-14
810;Brønderslev;06-11;2;2022-11-14
820;Vesthimmerland;06-11;1;2022-11-14
840;Rebild;06-11;2;2022-11-14
851;Aalborg;06-11;2;2022-11-14
860;Hjørring;06-11;1;2022-11-14
101;København;12-15;12;2022-11-14
147;Frederiksberg;12-15;2;2022-11-14
151;Ballerup;12-15;3;2022-11-14
157;Gentofte;12-15;2;2022-11-14
159;Gladsaxe;12-15;3;2022-11-14
161;Glostrup;12-15;1;2022-11-14
163;Herlev;12-15;1;2022-11-14
167;Hvidovre;12-15;2;2022-11-14
169;Høje Tåstrup;12-15;1;2022-11-14
175;Rødovre;12-15;1;2022-11-14
183;Ishøj;12-15;1;2022-11-14
185;Tårnby;12-15;2;2022-11-14
190;Furesø;12-15;1;2022-11-14
201;Allerød;12-15;1;2022-11-14
217;Helsingør;12-15;2;2022-11-14
219;Hillerød;12-15;1;2022-11-14
223;Hørsholm;12-15;1;2022-11-14
230;Rudersdal;12-15;1;2022-11-14
240;Egedal;12-15;2;2022-11-14
250;Frederikssund;12-15;3;2022-11-14
259;Køge;12-15;4;2022-11-14
265;Roskilde;12-15;5;2022-11-14
269;Solrød;12-15;1;2022-11-14
316;Holbæk;12-15;1;2022-11-14
329;Ringsted;12-15;2;2022-11-14
340;Sorø;12-15;3;2022-11-14
360;Lolland;12-15;4;2022-11-14
370;Næstved;12-15;4;2022-11-14
376;Guldborgsund;12-15;12;2022-11-14
400;Bornholm;12-15;1;2022-11-14
461;Odense;12-15;6;2022-11-14
479;Svendborg;12-15;1;2022-11-14
482;Langeland;12-15;1;2022-11-14
540;Sønderborg;12-15;1;2022-11-14
550;Tønder;12-15;1;2022-11-14
561;Esbjerg;12-15;5;2022-11-14
607;Fredericia;12-15;2;2022-11-14
615;Horsens;12-15;1;2022-11-14
621;Kolding;12-15;4;2022-11-14
630;Vejle;12-15;6;2022-11-14
657;Herning;12-15;1;2022-11-14
661;Holstebro;12-15;1;2022-11-14
671;Struer;12-15;1;2022-11-14
710;Favrskov;12-15;1;2022-11-14
730;Randers;12-15;2;2022-11-14
740;Silkeborg;12-15;1;2022-11-14
751;Århus;12-15;6;2022-11-14
