"Region";"Aldersgruppe";"Bekræftede tilfælde i alt";"Døde";"Indlagte på intensiv afdeling";"Indlagte";"Dato"
;0-9;1;0;0;1;14/11/2022
Hovedstaden;0-9;56;0;0;7;14/11/2022
Midtjylland;0-9;41;0;2;5;14/11/2022
Nordjylland;0-9;15;0;0;0;14/11/2022
Sjælland;0-9;27;0;0;0;14/11/2022
Syddanmark;0-9;26;0;1;1;14/11/2022
Hovedstaden;10-19;116;0;1;4;14/11/2022
Midtjylland;10-19;65;0;0;0;14/11/2022
Nordjylland;10-19;28;0;1;1;14/11/2022
Sjælland;10-19;75;0;0;0;14/11/2022
Syddanmark;10-19;55;0;0;0;14/11/2022
;20-29;2;0;0;0;14/11/2022
Hovedstaden;20-29;137;0;0;3;14/11/2022
Midtjylland;20-29;126;0;1;1;14/11/2022
Nordjylland;20-29;41;0;0;1;14/11/2022
Sjælland;20-29;134;0;0;0;14/11/2022
Syddanmark;20-29;144;0;0;0;14/11/2022
;30-39;5;0;0;0;14/11/2022
Hovedstaden;30-39;246;0;3;5;14/11/2022
Midtjylland;30-39;161;0;0;2;14/11/2022
Nordjylland;30-39;71;0;0;0;14/11/2022
Sjælland;30-39;114;0;2;5;14/11/2022
Syddanmark;30-39;137;0;1;3;14/11/2022
;40-49;6;0;0;0;14/11/2022
Hovedstaden;40-49;271;0;0;3;14/11/2022
Midtjylland;40-49;163;0;0;1;14/11/2022
Nordjylland;40-49;70;0;0;1;14/11/2022
Sjælland;40-49;141;0;0;3;14/11/2022
Syddanmark;40-49;178;0;2;6;14/11/2022
;50-59;4;0;0;1;14/11/2022
Hovedstaden;50-59;185;0;1;2;14/11/2022
Midtjylland;50-59;141;0;2;4;14/11/2022
Nordjylland;50-59;60;0;1;2;14/11/2022
Sjælland;50-59;124;0;0;3;14/11/2022
Syddanmark;50-59;140;0;4;10;14/11/2022
;60-69;1;0;0;0;14/11/2022
Hovedstaden;60-69;110;0;3;14;14/11/2022
Midtjylland;60-69;104;0;5;9;14/11/2022
Nordjylland;60-69;36;0;3;3;14/11/2022
Sjælland;60-69;96;0;5;10;14/11/2022
Syddanmark;60-69;86;0;3;4;14/11/2022
Hovedstaden;70-79;83;0;10;27;14/11/2022
Midtjylland;70-79;63;0;1;6;14/11/2022
Nordjylland;70-79;39;1;6;9;14/11/2022
Sjælland;70-79;67;0;7;14;14/11/2022
Syddanmark;70-79;58;0;2;4;14/11/2022
Hovedstaden;80-89;55;2;10;26;14/11/2022
Midtjylland;80-89;9;0;1;4;14/11/2022
Nordjylland;80-89;19;1;5;9;14/11/2022
Sjælland;80-89;36;0;12;16;14/11/2022
Syddanmark;80-89;36;0;6;15;14/11/2022
Hovedstaden;90+;6;0;1;2;14/11/2022
Midtjylland;90+;4;0;1;2;14/11/2022
Nordjylland;90+;1;0;0;0;14/11/2022
Sjælland;90+;11;0;4;7;14/11/2022
Syddanmark;90+;12;0;2;3;14/11/2022
