"Region";"Aldersgruppe";"Bekræftede tilfælde i alt"
;.;53
;00-02;147
Hovedstaden;00-02;19445
Midtjylland;00-02;11621
Nordjylland;00-02;5134
Sjælland;00-02;6755
Syddanmark;00-02;12340
;03-05;164
Hovedstaden;03-05;36901
Midtjylland;03-05;25054
Nordjylland;03-05;10592
Sjælland;03-05;13630
Syddanmark;03-05;22853
;06-11;488
Hovedstaden;06-11;95958
Midtjylland;06-11;66840
Nordjylland;06-11;28488
Sjælland;06-11;38107
Syddanmark;06-11;59156
;12-15;291
Hovedstaden;12-15;65966
Midtjylland;12-15;50442
Nordjylland;12-15;21743
Sjælland;12-15;30319
Syddanmark;12-15;45285
;16-19;426
Hovedstaden;16-19;63124
Midtjylland;16-19;50169
Nordjylland;16-19;22083
Sjælland;16-19;30509
Syddanmark;16-19;43880
;20-39;7692
Hovedstaden;20-39;376319
Midtjylland;20-39;227455
Nordjylland;20-39;96613
Sjælland;20-39;112004
Syddanmark;20-39;180352
;40-64;6661
Hovedstaden;40-64;348607
Midtjylland;40-64;239995
Nordjylland;40-64;108799
Sjælland;40-64;159763
Syddanmark;40-64;220977
;65-79;721
Hovedstaden;65-79;81650
Midtjylland;65-79;69590
Nordjylland;65-79;35670
Sjælland;65-79;47185
Syddanmark;65-79;67988
;80+;157
Hovedstaden;80+;23230
Midtjylland;80+;16018
Nordjylland;80+;9277
Sjælland;80+;11311
Syddanmark;80+;17176
