"Region";"Aldersgruppe";"Bekræftede tilfælde i alt";"Indlagte på intensiv afdeling";"Indlagte";"Dato"
;.;53;0;1;14/11/2022
;00-02;147;0;36;14/11/2022
Hovedstaden;00-02;19445;2;1140;14/11/2022
Midtjylland;00-02;11621;1;369;14/11/2022
Nordjylland;00-02;5134;0;203;14/11/2022
Sjælland;00-02;6755;0;379;14/11/2022
Syddanmark;00-02;12340;1;305;14/11/2022
;03-05;164;0;1;14/11/2022
Hovedstaden;03-05;36901;0;197;14/11/2022
Midtjylland;03-05;25054;1;69;14/11/2022
Nordjylland;03-05;10592;0;32;14/11/2022
Sjælland;03-05;13630;0;83;14/11/2022
Syddanmark;03-05;22853;0;61;14/11/2022
;06-11;488;0;4;14/11/2022
Hovedstaden;06-11;95958;0;300;14/11/2022
Midtjylland;06-11;66840;0;87;14/11/2022
Nordjylland;06-11;28488;0;45;14/11/2022
Sjælland;06-11;38107;0;117;14/11/2022
Syddanmark;06-11;59156;0;88;14/11/2022
;12-15;291;0;1;14/11/2022
Hovedstaden;12-15;65966;4;259;14/11/2022
Midtjylland;12-15;50442;0;76;14/11/2022
Nordjylland;12-15;21743;0;50;14/11/2022
Sjælland;12-15;30319;1;111;14/11/2022
Syddanmark;12-15;45285;0;92;14/11/2022
;16-19;426;0;8;14/11/2022
Hovedstaden;16-19;63124;2;406;14/11/2022
Midtjylland;16-19;50169;0;132;14/11/2022
Nordjylland;16-19;22083;1;74;14/11/2022
Sjælland;16-19;30509;0;157;14/11/2022
Syddanmark;16-19;43880;0;119;14/11/2022
;20-39;7692;0;198;14/11/2022
Hovedstaden;20-39;376319;14;4644;14/11/2022
Midtjylland;20-39;227455;2;1677;14/11/2022
Nordjylland;20-39;96613;1;749;14/11/2022
Sjælland;20-39;112004;10;1612;14/11/2022
Syddanmark;20-39;180352;3;1484;14/11/2022
;40-64;6661;0;303;14/11/2022
Hovedstaden;40-64;348607;25;6908;14/11/2022
Midtjylland;40-64;239995;8;2805;14/11/2022
Nordjylland;40-64;108799;9;1331;14/11/2022
Sjælland;40-64;159763;18;2945;14/11/2022
Syddanmark;40-64;220977;22;2598;14/11/2022
;65-79;721;0;112;14/11/2022
Hovedstaden;65-79;81650;38;6695;14/11/2022
Midtjylland;65-79;69590;9;2860;14/11/2022
Nordjylland;65-79;35670;15;1726;14/11/2022
Sjælland;65-79;47185;29;3371;14/11/2022
Syddanmark;65-79;67988;17;3185;14/11/2022
;80+;157;0;43;14/11/2022
Hovedstaden;80+;23230;23;5605;14/11/2022
Midtjylland;80+;16018;4;2224;14/11/2022
Nordjylland;80+;9277;14;1401;14/11/2022
Sjælland;80+;11311;26;2540;14/11/2022
Syddanmark;80+;17176;17;2727;14/11/2022
