"Dato";"Region";"Kategori";"Antal borgere"
2020-06-01;Hovedstaden;Indlæggelse pga. covid-19;1
2020-06-01;Midtjylland;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-06-01;Syddanmark;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-06-03;Sjælland;Indlæggelse pga. andre forhold end covid-19;1
2020-06-04;Hovedstaden;Indlæggelse pga. andre forhold end covid-19;1
2020-06-04;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-06-04;Sjælland;Indlæggelse pga. covid-19;1
2020-06-04;Syddanmark;Indlæggelse pga. andre forhold end covid-19;1
2020-06-04;Syddanmark;Indlæggelse pga. covid-19;1
2020-06-05;Hovedstaden;Indlæggelse pga. covid-19;2
2020-06-05;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-06-05;Sjælland;Indlæggelse pga. covid-19;1
2020-06-05;Syddanmark;Indlæggelse pga. andre forhold end covid-19;1
2020-06-06;Hovedstaden;Indlæggelse pga. covid-19;1
2020-06-06;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-06-07;Hovedstaden;Indlæggelse pga. andre forhold end covid-19;1
2020-06-07;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-06-07;Syddanmark;Indlæggelse pga. covid-19;1
2020-06-08;Hovedstaden;Indlæggelse pga. andre forhold end covid-19;1
2020-06-08;Hovedstaden;Indlæggelse pga. covid-19;1
2020-06-08;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-06-09;Sjælland;Indlæggelse pga. covid-19;1
2020-06-10;Nordjylland;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-06-11;Nordjylland;Indlæggelse pga. covid-19;1
2020-06-12;Hovedstaden;Indlæggelse pga. andre forhold end covid-19;1
2020-06-12;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;2
2020-06-12;Nordjylland;Indlæggelse pga. covid-19;1
2020-06-12;Sjælland;Indlæggelse pga. covid-19;2
2020-06-13;Hovedstaden;Indlæggelse pga. covid-19;3
2020-06-13;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-06-13;Sjælland;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-06-14;Hovedstaden;Indlæggelse pga. andre forhold end covid-19;1
2020-06-14;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-06-15;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;2
2020-06-15;Midtjylland;Indlæggelse pga. andre forhold end covid-19;1
2020-06-15;Sjælland;Indlæggelse pga. covid-19;1
2020-06-16;;Indlæggelse pga. covid-19;1
2020-06-16;Hovedstaden;Indlæggelse pga. covid-19;2
2020-06-16;Nordjylland;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-06-16;Sjælland;Indlæggelse pga. andre forhold end covid-19;1
2020-06-16;Sjælland;Indlæggelse pga. covid-19;3
2020-06-17;Hovedstaden;Indlæggelse pga. covid-19;2
2020-06-17;Nordjylland;Indlæggelse pga. covid-19;1
2020-06-17;Syddanmark;Indlæggelse pga. covid-19;1
2020-06-18;Hovedstaden;Indlæggelse pga. covid-19;2
2020-06-18;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-06-18;Midtjylland;Indlæggelse pga. andre forhold end covid-19;1
2020-06-18;Nordjylland;Indlæggelse pga. covid-19;1
2020-06-19;Hovedstaden;Indlæggelse pga. covid-19;1
2020-06-19;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-06-19;Sjælland;Indlæggelse pga. covid-19;2
2020-06-20;Hovedstaden;Indlæggelse pga. covid-19;1
2020-06-20;Nordjylland;Indlæggelse pga. covid-19;2
2020-06-21;Hovedstaden;Indlæggelse pga. covid-19;2
2020-06-21;Midtjylland;Indlæggelse pga. covid-19;1
2020-06-21;Nordjylland;Indlæggelse pga. covid-19;1
2020-06-22;Hovedstaden;Indlæggelse pga. covid-19;2
2020-06-22;Nordjylland;Indlæggelse pga. covid-19;1
2020-06-22;Nordjylland;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-06-22;Sjælland;Indlæggelse pga. andre forhold end covid-19;1
2020-06-22;Sjælland;Indlæggelse pga. covid-19;1
2020-06-23;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-06-23;Midtjylland;Indlæggelse pga. andre forhold end covid-19;1
2020-06-23;Midtjylland;Indlæggelse pga. covid-19;1
2020-06-23;Nordjylland;Indlæggelse pga. covid-19;1
2020-06-24;Hovedstaden;Indlæggelse pga. covid-19;2
2020-06-24;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-06-24;Nordjylland;Indlæggelse pga. covid-19;2
2020-06-25;Hovedstaden;Indlæggelse pga. andre forhold end covid-19;1
2020-06-25;Hovedstaden;Indlæggelse pga. covid-19;2
2020-06-25;Nordjylland;Indlæggelse pga. covid-19;1
2020-06-25;Sjælland;Indlæggelse pga. covid-19;1
2020-06-26;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-06-27;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-06-27;Midtjylland;Indlæggelse pga. covid-19;1
2020-06-27;Nordjylland;Indlæggelse pga. covid-19;1
2020-06-27;Sjælland;Indlæggelse pga. covid-19;1
2020-06-28;Hovedstaden;Indlæggelse pga. covid-19;1
2020-06-28;Nordjylland;Indlæggelse pga. covid-19;4
2020-06-28;Sjælland;Indlæggelse pga. covid-19;1
2020-06-29;Hovedstaden;Indlæggelse pga. andre forhold end covid-19;1
2020-06-29;Nordjylland;Indlæggelse pga. covid-19;2
2020-07-01;Hovedstaden;Indlæggelse pga. covid-19;1
2020-07-01;Sjælland;Indlæggelse pga. covid-19;1
2020-07-02;Hovedstaden;Indlæggelse pga. covid-19;1
2020-07-02;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-07-02;Nordjylland;Indlæggelse pga. covid-19;1
2020-07-02;Syddanmark;Indlæggelse pga. covid-19;1
2020-07-03;Hovedstaden;Indlæggelse pga. covid-19;1
2020-07-03;Midtjylland;Indlæggelse pga. covid-19;1
2020-07-03;Sjælland;Indlæggelse pga. andre forhold end covid-19;1
2020-07-05;Hovedstaden;Indlæggelse pga. andre forhold end covid-19;1
2020-07-05;Hovedstaden;Indlæggelse pga. covid-19;1
2020-07-05;Syddanmark;Indlæggelse pga. covid-19;1
2020-07-06;Hovedstaden;Indlæggelse pga. covid-19;1
2020-07-06;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-07-06;Sjælland;Indlæggelse, hvor covid-19 kan have spillet en rolle;2
2020-07-07;Hovedstaden;Indlæggelse pga. covid-19;1
2020-07-07;Nordjylland;Indlæggelse pga. covid-19;1
2020-07-08;Nordjylland;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
